date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:27:43	2591/2591	---MCZ	200	added ('OK')	text/xml	date:Sat,%2029%20Aug%202020%2021:27:47%20GMT	http://www.tedxyouthalamitosbay.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.tedxyouthalamitosbay.com%2Fdsc_0145%2F&format=xml	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/wp-json/oembed/1.0/embed88d7	(from http://www.tedxyouthalamitosbay.com/dsc_0145/)
14:27:43	2231985/2231985	---M--	200	added ('OK')	image/jpeg	etag:%22977d84705d5316ba%22	https://i1.wp.com/www.tedxyouthalamitosbay.com/wp-content/uploads/2017/04/DSC_0146.jpg	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/i1.wp.com/www.tedxyouthalamitosbay.com/wp-content/uploads/2017/04/DSC_0146.jpg	(from http://www.tedxyouthalamitosbay.com/dsc_0146/)
14:27:45	21290/21290	---M--	200	added ('OK')	image/jpeg	etag:%22d5aa64c659c1f590%22	https://i2.wp.com/www.tedxyouthalamitosbay.com/wp-content/uploads/2017/04/DSC_0145.jpg?fit=300%2C200	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/i2.wp.com/www.tedxyouthalamitosbay.com/wp-content/uploads/2017/04/DSC_014550d7.jpg	(from http://www.tedxyouthalamitosbay.com/dsc_0145/)
14:27:46	782/782	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22886b61645b45010619dd716d4dca4870-gzip%22	http://www.tedxyouthalamitosbay.com/feed/?attachment_id=1422	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/feed/indexa60e.html	(from http://www.tedxyouthalamitosbay.com/dsc_0144-3/)
14:27:46	2475/2475	---MCZ	200	added ('OK')	application/json	date:Sat,%2029%20Aug%202020%2021:27:50%20GMT	http://www.tedxyouthalamitosbay.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.tedxyouthalamitosbay.com%2Fdsc_0144-3%2F	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/wp-json/oembed/1.0/embedc5a2.json	(from http://www.tedxyouthalamitosbay.com/dsc_0144-3/)
14:27:47	2609/2609	---MCZ	200	added ('OK')	text/xml	date:Sat,%2029%20Aug%202020%2021:27:51%20GMT	http://www.tedxyouthalamitosbay.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.tedxyouthalamitosbay.com%2Fdsc_0144-3%2F&format=xml	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/wp-json/oembed/1.0/embed0e80	(from http://www.tedxyouthalamitosbay.com/dsc_0144-3/)
14:27:48	2335493/2335493	---M--	200	added ('OK')	image/jpeg	etag:%2203486156c242a8de%22	https://i2.wp.com/www.tedxyouthalamitosbay.com/wp-content/uploads/2017/04/DSC_0145.jpg	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/i2.wp.com/www.tedxyouthalamitosbay.com/wp-content/uploads/2017/04/DSC_0145.jpg	(from http://www.tedxyouthalamitosbay.com/dsc_0145/)
14:27:49	2115323/2115323	---M--	200	added ('OK')	image/jpeg	etag:%22a3ffaa90cc26c338%22	https://i0.wp.com/www.tedxyouthalamitosbay.com/wp-content/uploads/2017/04/DSC_0144-3.jpg	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/i0.wp.com/www.tedxyouthalamitosbay.com/wp-content/uploads/2017/04/DSC_0144-3.jpg	(from http://www.tedxyouthalamitosbay.com/dsc_0144-3/)
14:27:49	22344/22344	---M--	200	added ('OK')	image/jpeg	etag:%221853caa8e7052d9a%22	https://i0.wp.com/www.tedxyouthalamitosbay.com/wp-content/uploads/2017/04/DSC_0144-3.jpg?fit=300%2C200	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/i0.wp.com/www.tedxyouthalamitosbay.com/wp-content/uploads/2017/04/DSC_0144-350d7.jpg	(from http://www.tedxyouthalamitosbay.com/dsc_0144-3/)
14:27:50	776/776	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2297e0b7bfe6f4eb5c8125e7c1fdc3b3a9-gzip%22	http://www.tedxyouthalamitosbay.com/feed/?attachment_id=1421	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/feed/index9336.html	(from http://www.tedxyouthalamitosbay.com/dsc_0143/)
